cve,event_type,event_date,source,raw_date_field
CVE-2010-5326,KEV,2021-11-03,KEV,dateAdded
CVE-2012-0158,KEV,2021-11-03,KEV,dateAdded
CVE-2012-3152,KEV,2021-11-03,KEV,dateAdded
CVE-2014-1812,KEV,2021-11-03,KEV,dateAdded
CVE-2015-1641,KEV,2021-11-03,KEV,dateAdded
CVE-2015-4852,KEV,2021-11-03,KEV,dateAdded
CVE-2016-0167,KEV,2021-11-03,KEV,dateAdded
CVE-2016-0185,KEV,2021-11-03,KEV,dateAdded
CVE-2016-3235,KEV,2021-11-03,KEV,dateAdded
CVE-2016-3643,KEV,2021-11-03,KEV,dateAdded
CVE-2016-3715,KEV,2021-11-03,KEV,dateAdded
CVE-2016-3718,KEV,2021-11-03,KEV,dateAdded
CVE-2016-3976,KEV,2021-11-03,KEV,dateAdded
CVE-2016-4437,KEV,2021-11-03,KEV,dateAdded
CVE-2016-7255,KEV,2021-11-03,KEV,dateAdded
CVE-2016-9563,KEV,2021-11-03,KEV,dateAdded
CVE-2017-0143,KEV,2021-11-03,KEV,dateAdded
CVE-2017-0199,KEV,2021-11-03,KEV,dateAdded
CVE-2017-11774,KEV,2021-11-03,KEV,dateAdded
CVE-2017-11882,KEV,2021-11-03,KEV,dateAdded
CVE-2017-16651,KEV,2021-11-03,KEV,dateAdded
CVE-2017-5638,KEV,2021-11-03,KEV,dateAdded
CVE-2017-6327,KEV,2021-11-03,KEV,dateAdded
CVE-2017-7269,KEV,2021-11-03,KEV,dateAdded
CVE-2017-8759,KEV,2021-11-03,KEV,dateAdded
CVE-2017-9248,KEV,2021-11-03,KEV,dateAdded
CVE-2017-9805,KEV,2021-11-03,KEV,dateAdded
CVE-2017-9822,KEV,2021-11-03,KEV,dateAdded
CVE-2018-0171,KEV,2021-11-03,KEV,dateAdded
CVE-2018-0296,KEV,2021-11-03,KEV,dateAdded
CVE-2018-0798,KEV,2021-11-03,KEV,dateAdded
CVE-2018-0802,KEV,2021-11-03,KEV,dateAdded
CVE-2018-11776,KEV,2021-11-03,KEV,dateAdded
CVE-2018-13379,KEV,2021-11-03,KEV,dateAdded
CVE-2018-14558,KEV,2021-11-03,KEV,dateAdded
CVE-2018-15811,KEV,2021-11-03,KEV,dateAdded
CVE-2018-15961,KEV,2021-11-03,KEV,dateAdded
CVE-2018-18325,KEV,2021-11-03,KEV,dateAdded
CVE-2018-20062,KEV,2021-11-03,KEV,dateAdded
CVE-2018-2380,KEV,2021-11-03,KEV,dateAdded
CVE-2018-4878,KEV,2021-11-03,KEV,dateAdded
CVE-2018-4939,KEV,2021-11-03,KEV,dateAdded
CVE-2018-6789,KEV,2021-11-03,KEV,dateAdded
CVE-2018-7600,KEV,2021-11-03,KEV,dateAdded
CVE-2018-8653,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0211,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0541,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0604,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0708,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0797,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0803,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0808,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0859,KEV,2021-11-03,KEV,dateAdded
CVE-2019-0863,KEV,2021-11-03,KEV,dateAdded
CVE-2019-11510,KEV,2021-11-03,KEV,dateAdded
CVE-2019-11539,KEV,2021-11-03,KEV,dateAdded
CVE-2019-11580,KEV,2021-11-03,KEV,dateAdded
CVE-2019-11634,KEV,2021-11-03,KEV,dateAdded
CVE-2019-1214,KEV,2021-11-03,KEV,dateAdded
CVE-2019-1215,KEV,2021-11-03,KEV,dateAdded
CVE-2019-13608,KEV,2021-11-03,KEV,dateAdded
CVE-2019-1367,KEV,2021-11-03,KEV,dateAdded
CVE-2019-1429,KEV,2021-11-03,KEV,dateAdded
CVE-2019-15752,KEV,2021-11-03,KEV,dateAdded
CVE-2019-15949,KEV,2021-11-03,KEV,dateAdded
